date,region,district,population,ME-Fea,ME-Ang,ME-Sad,GH-Death
2023-03-17,Gujarat,Ahmedabad,5600,0.4,0.28,0.55,12.1
2023-03-17,Gujarat,Rajkot,1300,0.39,0.31,0.56,11.1
2023-03-17,Gujarat,Surat,4500,0.4,0.27,0.57,11.7
2023-03-17,Gujarat,Vadodara,1700,0.45,0.28,0.56,12.4
2023-03-17,Karnataka,Bangalore,8400,0.47,0.33,0.58,13.1
2023-03-17,Karnataka,Hubli,950,0.44,0.32,0.62,14.1
2023-03-17,Karnataka,Mangalore,500,0.46,0.31,0.57,13.2
2023-03-17,Karnataka,Mysore,900,0.45,0.32,0.61,14.9
2023-03-17,Maharashtra,Mumbai,12500,0.52,0.34,0.71,16.1
2023-03-17,Maharashtra,Nagpur,2400,0.54,0.33,0.62,16.4
2023-03-17,Maharashtra,Pune,3100,0.53,0.35,0.7,17.9
2023-03-17,Maharashtra,Thane,1850,0.55,0.36,0.66,16.9
2023-03-17,Rajasthan,Jaipur,3100,0.47,0.34,0.57,13.5
2023-03-17,Rajasthan,Jodhpur,1000,0.46,0.32,0.58,13.3
2023-03-17,Rajasthan,Kota,1000,0.42,0.4,0.61,13.9
2023-03-17,Rajasthan,Udaipur,450,0.44,0.33,0.57,13.6
2023-03-17,Tamil Nadu,Chennai,7100,0.44,0.28,0.56,13.6
2023-03-17,Tamil Nadu,Coimbatore,1600,0.41,0.29,0.52,12.5
2023-03-17,Tamil Nadu,Madurai,1500,0.42,0.29,0.53,12.3
2023-03-17,Tamil Nadu,Salem,900,0.43,0.3,0.55,12.3
2023-03-17,Uttar Pradesh,Agra,1600,0.46,0.37,0.61,15.9
2023-03-17,Uttar Pradesh,Kanpur,2700,0.49,0.36,0.6,16.6
2023-03-17,Uttar Pradesh,Lucknow,2800,0.52,0.34,0.64,16.7
2023-03-17,Uttar Pradesh,Varanasi,1200,0.49,0.37,0.59,15.3
2023-03-17,West Bengal,Asansol,550,0.48,0.34,0.62,14.6
2023-03-17,West Bengal,Durgapur,600,0.48,0.31,0.59,14.3
2023-03-17,West Bengal,Howrah,1100,0.51,0.3,0.58,14.4
2023-03-17,West Bengal,Kolkata,4500,0.51,0.31,0.65,15.6
2023-03-18,Delhi,Central Delhi,1800,0.53,0.4,0.67,18.6
2023-03-18,Delhi,East Delhi,1700,0.58,0.42,0.73,18.1
2023-03-18,Delhi,North Delhi,3600,0.55,0.43,0.78,16.6
2023-03-18,Delhi,South Delhi,2700,0.6,0.39,0.74,18.1
2023-03-18,Gujarat,Ahmedabad,5600,0.41,0.26,0.54,12.1
2023-03-18,Gujarat,Rajkot,1300,0.37,0.28,0.53,12.2
2023-03-18,Gujarat,Surat,4500,0.41,0.3,0.52,11.5
2023-03-18,Gujarat,Vadodara,1700,0.4,0.27,0.55,12.7
2023-03-18,Karnataka,Bangalore,8400,0.43,0.32,0.57,14.2
2023-03-18,Karnataka,Hubli,950,0.43,0.33,0.57,13.1
2023-03-18,Karnataka,Mangalore,500,0.48,0.32,0.62,14.2
2023-03-18,Karnataka,Mysore,900,0.48,0.31,0.59,14.2
2023-03-18,Maharashtra,Mumbai,12500,0.53,0.32,0.67,16.3
2023-03-18,Maharashtra,Nagpur,2400,0.55,0.37,0.68,17.0
2023-03-18,Maharashtra,Pune,3100,0.47,0.35,0.72,17.4
2023-03-18,Maharashtra,Thane,1850,0.53,0.34,0.72,17.0
2023-03-18,Rajasthan,Jaipur,3100,0.45,0.36,0.56,13.0
2023-03-18,Rajasthan,Jodhpur,1000,0.49,0.32,0.58,13.6
2023-03-18,Rajasthan,Kota,1000,0.5,0.37,0.53,13.6
2023-03-18,Rajasthan,Udaipur,450,0.47,0.35,0.62,14.2
2023-03-18,Tamil Nadu,Chennai,7100,0.43,0.3,0.57,13.1
2023-03-18,Tamil Nadu,Coimbatore,1600,0.43,0.28,0.55,12.6
2023-03-18,Tamil Nadu,Madurai,1500,0.43,0.29,0.55,12.6
2023-03-18,Tamil Nadu,Salem,900,0.45,0.29,0.54,13.1
2023-03-18,Uttar Pradesh,Agra,1600,0.49,0.39,0.62,16.3
2023-03-18,Uttar Pradesh,Kanpur,2700,0.51,0.35,0.61,15.8
2023-03-18,Uttar Pradesh,Lucknow,2800,0.51,0.34,0.63,16.3
2023-03-18,Uttar Pradesh,Varanasi,1200,0.46,0.41,0.64,16.6
2023-03-18,West Bengal,Asansol,550,0.45,0.33,0.64,15.5
2023-03-18,West Bengal,Durgapur,600,0.47,0.33,0.59,14.7
2023-03-18,West Bengal,Howrah,1100,0.47,0.35,0.61,14.8
2023-03-18,West Bengal,Kolkata,4500,0.46,0.33,0.61,15.1
2023-03-19,Delhi,Central Delhi,1800,0.59,0.41,0.75,18.6
2023-03-19,Delhi,East Delhi,1700,0.53,0.41,0.73,18.2
2023-03-19,Delhi,North Delhi,3600,0.58,0.36,0.71,18.1
2023-03-19,Delhi,South Delhi,2700,0.59,0.47,0.75,17.5
2023-03-19,Gujarat,Ahmedabad,5600,0.4,0.28,0.55,12.2
2023-03-19,Gujarat,Rajkot,1300,0.41,0.28,0.52,12.1
2023-03-19,Gujarat,Surat,4500,0.41,0.27,0.55,12.3
2023-03-19,Gujarat,Vadodara,1700,0.41,0.28,0.5,11.9
2023-03-19,Karnataka,Bangalore,8400,0.46,0.31,0.58,15.2
2023-03-19,Karnataka,Hubli,950,0.44,0.33,0.55,14.2
2023-03-19,Karnataka,Mangalore,500,0.43,0.3,0.58,13.0
2023-03-19,Karnataka,Mysore,900,0.44,0.31,0.55,13.3
2023-03-19,Maharashtra,Mumbai,12500,0.52,0.38,0.66,16.9
2023-03-19,Maharashtra,Nagpur,2400,0.52,0.31,0.69,16.5
2023-03-19,Maharashtra,Pune,3100,0.53,0.33,0.67,16.0
2023-03-19,Maharashtra,Thane,1850,0.54,0.32,0.64,16.7
2023-03-19,Rajasthan,Jaipur,3100,0.45,0.35,0.6,12.9
2023-03-19,Rajasthan,Jodhpur,1000,0.46,0.36,0.59,13.4
2023-03-19,Rajasthan,Kota,1000,0.44,0.36,0.58,13.8
2023-03-19,Rajasthan,Udaipur,450,0.48,0.3,0.61,13.3
2023-03-19,Tamil Nadu,Chennai,7100,0.43,0.3,0.55,12.3
2023-03-19,Tamil Nadu,Coimbatore,1600,0.39,0.29,0.56,12.3
2023-03-19,Tamil Nadu,Madurai,1500,0.45,0.29,0.54,12.6
2023-03-19,Tamil Nadu,Salem,900,0.42,0.28,0.58,12.3
2023-03-19,Uttar Pradesh,Agra,1600,0.48,0.41,0.63,16.5
2023-03-19,Uttar Pradesh,Kanpur,2700,0.54,0.36,0.57,16.3
2023-03-19,Uttar Pradesh,Lucknow,2800,0.48,0.41,0.63,16.7
2023-03-19,Uttar Pradesh,Varanasi,1200,0.46,0.37,0.65,16.6
2023-03-19,West Bengal,Asansol,550,0.46,0.34,0.6,13.9
2023-03-19,West Bengal,Durgapur,600,0.48,0.35,0.64,15.0
2023-03-19,West Bengal,Howrah,1100,0.47,0.33,0.66,14.5
2023-03-19,West Bengal,Kolkata,4500,0.51,0.33,0.63,14.9
2023-03-20,Delhi,Central Delhi,1800,0.6,0.39,0.75,19.3
2023-03-20,Delhi,East Delhi,1700,0.58,0.41,0.72,18.3
2023-03-20,Delhi,North Delhi,3600,0.56,0.4,0.8,18.2
2023-03-20,Delhi,South Delhi,2700,0.6,0.41,0.73,18.1
2023-03-20,Gujarat,Ahmedabad,5600,0.39,0.28,0.54,12.7
2023-03-20,Gujarat,Rajkot,1300,0.42,0.25,0.52,12.4
2023-03-20,Gujarat,Surat,4500,0.39,0.28,0.52,12.8
2023-03-20,Gujarat,Vadodara,1700,0.39,0.27,0.55,12.3
2023-03-20,Karnataka,Bangalore,8400,0.44,0.31,0.56,14.7
2023-03-20,Karnataka,Hubli,950,0.47,0.32,0.59,14.4
2023-03-20,Karnataka,Mangalore,500,0.47,0.3,0.61,14.2
2023-03-20,Karnataka,Mysore,900,0.46,0.32,0.59,13.6
2023-03-20,Maharashtra,Mumbai,12500,0.51,0.36,0.68,17.2
2023-03-20,Maharashtra,Nagpur,2400,0.51,0.36,0.67,16.6
2023-03-20,Maharashtra,Pune,3100,0.51,0.32,0.67,17.1
2023-03-20,Maharashtra,Thane,1850,0.53,0.37,0.66,16.9
2023-03-20,Rajasthan,Jaipur,3100,0.47,0.35,0.6,12.9
2023-03-20,Rajasthan,Jodhpur,1000,0.46,0.34,0.59,14.2
2023-03-20,Rajasthan,Kota,1000,0.47,0.38,0.58,14.1
2023-03-20,Rajasthan,Udaipur,450,0.46,0.37,0.56,13.5
2023-03-20,Tamil Nadu,Chennai,7100,0.43,0.27,0.6,13.6
2023-03-20,Tamil Nadu,Coimbatore,1600,0.42,0.3,0.55,13.1
2023-03-20,Tamil Nadu,Madurai,1500,0.42,0.29,0.54,12.2
2023-03-20,Tamil Nadu,Salem,900,0.45,0.26,0.53,12.9
2023-03-20,Uttar Pradesh,Agra,1600,0.48,0.39,0.67,16.4
2023-03-20,Uttar Pradesh,Kanpur,2700,0.46,0.38,0.65,15.4
2023-03-20,Uttar Pradesh,Lucknow,2800,0.48,0.38,0.67,16.4
2023-03-20,Uttar Pradesh,Varanasi,1200,0.5,0.4,0.64,16.3
2023-03-20,West Bengal,Asansol,550,0.45,0.3,0.62,14.7
2023-03-20,West Bengal,Durgapur,600,0.49,0.34,0.57,14.2
2023-03-20,West Bengal,Howrah,1100,0.47,0.33,0.63,14.7
2023-03-20,West Bengal,Kolkata,4500,0.44,0.32,0.64,14.9
2023-03-21,Delhi,Central Delhi,1800,0.59,0.39,0.74,19.2
2023-03-21,Delhi,East Delhi,1700,0.56,0.4,0.72,18.2
2023-03-21,Delhi,North Delhi,3600,0.53,0.4,0.77,17.1
2023-03-21,Delhi,South Delhi,2700,0.57,0.36,0.73,18.6
2023-03-21,Gujarat,Ahmedabad,5600,0.39,0.28,0.52,12.4
2023-03-21,Gujarat,Rajkot,1300,0.43,0.26,0.52,12.6
2023-03-21,Gujarat,Surat,4500,0.43,0.27,0.52,12.2
2023-03-21,Gujarat,Vadodara,1700,0.39,0.27,0.49,11.2
2023-03-21,Karnataka,Bangalore,8400,0.46,0.33,0.59,14.6
2023-03-21,Karnataka,Hubli,950,0.47,0.3,0.57,13.9
2023-03-21,Karnataka,Mangalore,500,0.48,0.34,0.55,13.7
2023-03-21,Karnataka,Mysore,900,0.45,0.33,0.59,13.8
2023-03-21,Maharashtra,Mumbai,12500,0.46,0.37,0.67,18.2
2023-03-21,Maharashtra,Nagpur,2400,0.48,0.35,0.66,16.3
2023-03-21,Maharashtra,Pune,3100,0.58,0.33,0.62,17.4
2023-03-21,Maharashtra,Thane,1850,0.52,0.33,0.68,16.9
2023-03-21,Rajasthan,Jaipur,3100,0.45,0.37,0.6,13.5
2023-03-21,Rajasthan,Jodhpur,1000,0.47,0.34,0.62,13.6
2023-03-21,Rajasthan,Kota,1000,0.45,0.37,0.54,13.2
2023-03-21,Rajasthan,Udaipur,450,0.46,0.33,0.62,13.9
2023-03-21,Tamil Nadu,Chennai,7100,0.4,0.32,0.54,13.4
2023-03-21,Tamil Nadu,Coimbatore,1600,0.42,0.27,0.56,12.5
2023-03-21,Tamil Nadu,Madurai,1500,0.4,0.3,0.54,13.2
2023-03-21,Tamil Nadu,Salem,900,0.44,0.28,0.58,12.8
2023-03-21,Uttar Pradesh,Agra,1600,0.5,0.4,0.64,16.5
2023-03-21,Uttar Pradesh,Kanpur,2700,0.51,0.39,0.64,16.6
2023-03-21,Uttar Pradesh,Lucknow,2800,0.49,0.39,0.66,16.6
2023-03-21,Uttar Pradesh,Varanasi,1200,0.51,0.39,0.67,16.6
2023-03-21,West Bengal,Asansol,550,0.51,0.36,0.6,15.2
2023-03-21,West Bengal,Durgapur,600,0.5,0.36,0.6,15.8
2023-03-21,West Bengal,Howrah,1100,0.5,0.31,0.6,15.4
2023-03-21,West Bengal,Kolkata,4500,0.5,0.35,0.61,13.9
2023-03-22,Delhi,Central Delhi,1800,0.56,0.43,0.7,19.0
2023-03-22,Delhi,East Delhi,1700,0.54,0.41,0.71,19.4
2023-03-22,Delhi,North Delhi,3600,0.56,0.42,0.74,18.2
2023-03-22,Delhi,South Delhi,2700,0.55,0.4,0.69,18.7
2023-03-22,Gujarat,Ahmedabad,5600,0.41,0.29,0.49,12.7
2023-03-22,Gujarat,Rajkot,1300,0.38,0.28,0.53,12.3
2023-03-22,Gujarat,Surat,4500,0.41,0.28,0.53,11.9
2023-03-22,Gujarat,Vadodara,1700,0.4,0.29,0.54,12.6
2023-03-22,Karnataka,Bangalore,8400,0.45,0.29,0.59,14.8
2023-03-22,Karnataka,Hubli,950,0.45,0.33,0.6,14.3
2023-03-22,Karnataka,Mangalore,500,0.46,0.34,0.59,13.9
2023-03-22,Karnataka,Mysore,900,0.46,0.27,0.54,14.5
2023-03-22,Maharashtra,Mumbai,12500,0.51,0.34,0.72,17.2
2023-03-22,Maharashtra,Nagpur,2400,0.5,0.34,0.68,17.5
2023-03-22,Maharashtra,Pune,3100,0.57,0.33,0.69,15.6
2023-03-22,Maharashtra,Thane,1850,0.52,0.37,0.7,18.0
2023-03-22,Rajasthan,Jaipur,3100,0.47,0.37,0.62,13.7
2023-03-22,Rajasthan,Jodhpur,1000,0.44,0.35,0.61,13.9
2023-03-22,Rajasthan,Kota,1000,0.45,0.35,0.6,14.8
2023-03-22,Rajasthan,Udaipur,450,0.48,0.37,0.56,14.3
2023-03-22,Tamil Nadu,Chennai,7100,0.43,0.3,0.57,12.5
2023-03-22,Tamil Nadu,Coimbatore,1600,0.45,0.32,0.55,13.7
2023-03-22,Tamil Nadu,Madurai,1500,0.41,0.28,0.57,13.1
2023-03-22,Tamil Nadu,Salem,900,0.41,0.3,0.57,12.9
2023-03-22,Uttar Pradesh,Agra,1600,0.5,0.38,0.63,15.7
2023-03-22,Uttar Pradesh,Kanpur,2700,0.48,0.38,0.65,16.6
2023-03-22,Uttar Pradesh,Lucknow,2800,0.48,0.37,0.65,16.7
2023-03-22,Uttar Pradesh,Varanasi,1200,0.49,0.36,0.64,16.8
2023-03-22,West Bengal,Asansol,550,0.48,0.33,0.59,14.8
2023-03-22,West Bengal,Durgapur,600,0.48,0.33,0.62,14.7
2023-03-22,West Bengal,Howrah,1100,0.48,0.35,0.59,15.4
2023-03-22,West Bengal,Kolkata,4500,0.46,0.34,0.6,14.4
2023-03-23,Delhi,Central Delhi,1800,0.56,0.4,0.72,18.9
2023-03-23,Delhi,East Delhi,1700,0.63,0.37,0.74,17.5
2023-03-23,Delhi,North Delhi,3600,0.6,0.42,0.75,19.0
2023-03-23,Delhi,South Delhi,2700,0.54,0.45,0.73,17.3
2023-03-23,Gujarat,Ahmedabad,5600,0.44,0.28,0.49,11.8
2023-03-23,Gujarat,Rajkot,1300,0.41,0.27,0.51,12.4
2023-03-23,Gujarat,Surat,4500,0.41,0.28,0.52,12.1
2023-03-23,Gujarat,Vadodara,1700,0.39,0.3,0.53,11.8
2023-03-23,Karnataka,Bangalore,8400,0.46,0.32,0.58,14.7
2023-03-23,Karnataka,Hubli,950,0.44,0.32,0.55,15.2
2023-03-23,Karnataka,Mangalore,500,0.42,0.3,0.6,14.2
2023-03-23,Karnataka,Mysore,900,0.44,0.32,0.62,13.1
2023-03-23,Maharashtra,Mumbai,12500,0.55,0.33,0.7,17.1
2023-03-23,Maharashtra,Nagpur,2400,0.52,0.38,0.65,17.0
2023-03-23,Maharashtra,Pune,3100,0.54,0.34,0.69,16.7
2023-03-23,Maharashtra,Thane,1850,0.49,0.35,0.65,16.7
2023-03-23,Rajasthan,Jaipur,3100,0.48,0.38,0.57,13.4
2023-03-23,Rajasthan,Jodhpur,1000,0.43,0.38,0.6,13.5
2023-03-23,Rajasthan,Kota,1000,0.44,0.38,0.58,13.8
2023-03-23,Rajasthan,Udaipur,450,0.45,0.35,0.58,13.1
2023-03-23,Tamil Nadu,Chennai,7100,0.44,0.29,0.56,13.9
2023-03-23,Tamil Nadu,Coimbatore,1600,0.41,0.31,0.52,12.8
2023-03-23,Tamil Nadu,Madurai,1500,0.45,0.31,0.49,13.2
2023-03-23,Tamil Nadu,Salem,900,0.41,0.31,0.53,12.5
2023-03-23,Uttar Pradesh,Agra,1600,0.49,0.39,0.63,16.0
2023-03-23,Uttar Pradesh,Kanpur,2700,0.5,0.4,0.65,17.5
2023-03-23,Uttar Pradesh,Lucknow,2800,0.5,0.41,0.63,17.0
2023-03-23,Uttar Pradesh,Varanasi,1200,0.5,0.39,0.62,15.9
2023-03-23,West Bengal,Asansol,550,0.48,0.34,0.61,14.9
2023-03-23,West Bengal,Durgapur,600,0.46,0.31,0.59,15.1
2023-03-23,West Bengal,Howrah,1100,0.51,0.32,0.63,15.5
2023-03-23,West Bengal,Kolkata,4500,0.47,0.32,0.6,14.3
2023-03-24,Delhi,Central Delhi,1800,0.55,0.41,0.76,18.3
2023-03-24,Delhi,East Delhi,1700,0.54,0.41,0.73,18.4
2023-03-24,Delhi,North Delhi,3600,0.53,0.42,0.72,18.4
2023-03-24,Delhi,South Delhi,2700,0.59,0.39,0.69,19.2
2023-03-24,Gujarat,Ahmedabad,5600,0.43,0.31,0.57,12.2
2023-03-24,Gujarat,Rajkot,1300,0.42,0.27,0.53,12.7
2023-03-24,Gujarat,Surat,4500,0.38,0.25,0.55,13.0
2023-03-24,Gujarat,Vadodara,1700,0.39,0.32,0.54,12.0
2023-03-24,Karnataka,Bangalore,8400,0.45,0.32,0.63,14.3
2023-03-24,Karnataka,Hubli,950,0.43,0.32,0.6,15.6
2023-03-24,Karnataka,Mangalore,500,0.42,0.32,0.57,14.5
2023-03-24,Karnataka,Mysore,900,0.45,0.31,0.6,13.2
2023-03-24,Maharashtra,Mumbai,12500,0.52,0.36,0.66,16.5
2023-03-24,Maharashtra,Nagpur,2400,0.48,0.34,0.72,17.0
2023-03-24,Maharashtra,Pune,3100,0.57,0.35,0.7,16.7
2023-03-24,Maharashtra,Thane,1850,0.54,0.35,0.69,17.3
2023-03-24,Rajasthan,Jaipur,3100,0.47,0.36,0.6,13.7
2023-03-24,Rajasthan,Jodhpur,1000,0.45,0.36,0.58,13.6
2023-03-24,Rajasthan,Kota,1000,0.43,0.37,0.6,13.5
2023-03-24,Rajasthan,Udaipur,450,0.46,0.35,0.62,13.3
2023-03-24,Tamil Nadu,Chennai,7100,0.43,0.31,0.57,13.4
2023-03-24,Tamil Nadu,Coimbatore,1600,0.43,0.31,0.56,12.2
2023-03-24,Tamil Nadu,Madurai,1500,0.43,0.32,0.58,13.2
2023-03-24,Tamil Nadu,Salem,900,0.42,0.32,0.57,13.2
2023-03-24,Uttar Pradesh,Agra,1600,0.49,0.35,0.66,15.4
2023-03-24,Uttar Pradesh,Kanpur,2700,0.44,0.39,0.62,16.4
2023-03-24,Uttar Pradesh,Lucknow,2800,0.51,0.38,0.63,16.3
2023-03-24,Uttar Pradesh,Varanasi,1200,0.5,0.37,0.64,16.3
2023-03-24,West Bengal,Asansol,550,0.46,0.35,0.6,15.2
2023-03-24,West Bengal,Durgapur,600,0.52,0.32,0.64,15.3
2023-03-24,West Bengal,Howrah,1100,0.49,0.35,0.61,15.5
2023-03-24,West Bengal,Kolkata,4500,0.48,0.35,0.6,15.5
2023-03-25,Delhi,Central Delhi,1800,0.55,0.42,0.72,18.4
2023-03-25,Delhi,East Delhi,1700,0.58,0.43,0.73,19.3
2023-03-25,Delhi,North Delhi,3600,0.57,0.37,0.72,17.8
2023-03-25,Delhi,South Delhi,2700,0.58,0.39,0.72,18.5
2023-03-25,Gujarat,Ahmedabad,5600,0.43,0.28,0.55,12.1
2023-03-25,Gujarat,Rajkot,1300,0.41,0.26,0.52,11.6
2023-03-25,Gujarat,Surat,4500,0.39,0.26,0.49,12.6
2023-03-25,Gujarat,Vadodara,1700,0.41,0.29,0.54,12.2
2023-03-25,Karnataka,Bangalore,8400,0.46,0.31,0.56,13.7
2023-03-25,Karnataka,Hubli,950,0.42,0.28,0.59,14.6
2023-03-25,Karnataka,Mangalore,500,0.45,0.3,0.6,15.1
2023-03-25,Karnataka,Mysore,900,0.46,0.29,0.6,14.5
2023-03-25,Maharashtra,Mumbai,12500,0.52,0.37,0.69,16.6
2023-03-25,Maharashtra,Nagpur,2400,0.52,0.36,0.67,17.0
2023-03-25,Maharashtra,Pune,3100,0.56,0.35,0.67,16.7
2023-03-25,Maharashtra,Thane,1850,0.52,0.35,0.69,16.7
2023-03-25,Rajasthan,Jaipur,3100,0.43,0.35,0.57,13.1
2023-03-25,Rajasthan,Jodhpur,1000,0.44,0.36,0.6,13.5
2023-03-25,Rajasthan,Kota,1000,0.45,0.32,0.63,14.0
2023-03-25,Rajasthan,Udaipur,450,0.46,0.36,0.59,12.9
2023-03-25,Tamil Nadu,Chennai,7100,0.42,0.3,0.54,12.1
2023-03-25,Tamil Nadu,Coimbatore,1600,0.44,0.29,0.55,13.6
2023-03-25,Tamil Nadu,Madurai,1500,0.42,0.28,0.54,12.3
2023-03-25,Tamil Nadu,Salem,900,0.41,0.35,0.56,12.8
2023-03-25,Uttar Pradesh,Agra,1600,0.53,0.39,0.64,15.6
2023-03-25,Uttar Pradesh,Kanpur,2700,0.51,0.39,0.65,16.2
2023-03-25,Uttar Pradesh,Lucknow,2800,0.48,0.41,0.62,16.4
2023-03-25,Uttar Pradesh,Varanasi,1200,0.51,0.39,0.61,16.2
2023-03-25,West Bengal,Asansol,550,0.47,0.31,0.58,16.4
2023-03-25,West Bengal,Durgapur,600,0.47,0.32,0.62,15.3
2023-03-25,West Bengal,Howrah,1100,0.46,0.34,0.6,15.2
2023-03-25,West Bengal,Kolkata,4500,0.52,0.36,0.61,16.1
2023-03-26,Delhi,Central Delhi,1800,0.57,0.39,0.72,17.8
2023-03-26,Delhi,East Delhi,1700,0.57,0.43,0.74,19.1
2023-03-26,Delhi,North Delhi,3600,0.58,0.4,0.76,17.3
2023-03-26,Delhi,South Delhi,2700,0.54,0.41,0.74,18.9
2023-03-26,Gujarat,Ahmedabad,5600,0.41,0.27,0.54,12.1
2023-03-26,Gujarat,Rajkot,1300,0.41,0.25,0.53,11.5
2023-03-26,Gujarat,Surat,4500,0.39,0.25,0.51,12.0
2023-03-26,Gujarat,Vadodara,1700,0.39,0.31,0.53,11.4
2023-03-26,Karnataka,Bangalore,8400,0.43,0.33,0.6,14.8
2023-03-26,Karnataka,Hubli,950,0.46,0.32,0.57,14.2
2023-03-26,Karnataka,Mangalore,500,0.42,0.32,0.56,15.2
2023-03-26,Karnataka,Mysore,900,0.47,0.29,0.55,15.1
2023-03-26,Maharashtra,Mumbai,12500,0.52,0.36,0.66,16.9
2023-03-26,Maharashtra,Nagpur,2400,0.52,0.36,0.67,16.8
2023-03-26,Maharashtra,Pune,3100,0.51,0.35,0.65,17.1
2023-03-26,Maharashtra,Thane,1850,0.54,0.34,0.69,17.2
2023-03-26,Rajasthan,Jaipur,3100,0.45,0.35,0.59,14.0
2023-03-26,Rajasthan,Jodhpur,1000,0.47,0.35,0.58,13.0
2023-03-26,Rajasthan,Kota,1000,0.45,0.33,0.61,12.9
2023-03-26,Rajasthan,Udaipur,450,0.45,0.36,0.62,14.0
2023-03-26,Tamil Nadu,Chennai,7100,0.42,0.29,0.53,12.8
2023-03-26,Tamil Nadu,Coimbatore,1600,0.41,0.3,0.57,12.2
2023-03-26,Tamil Nadu,Madurai,1500,0.42,0.32,0.54,12.9
2023-03-26,Tamil Nadu,Salem,900,0.43,0.33,0.54,12.6
2023-03-26,Uttar Pradesh,Agra,1600,0.52,0.36,0.65,16.0
2023-03-26,Uttar Pradesh,Kanpur,2700,0.51,0.38,0.66,16.2
2023-03-26,Uttar Pradesh,Lucknow,2800,0.51,0.39,0.6,16.6
2023-03-26,Uttar Pradesh,Varanasi,1200,0.49,0.41,0.68,16.3
2023-03-26,West Bengal,Asansol,550,0.49,0.31,0.58,15.1
2023-03-26,West Bengal,Durgapur,600,0.49,0.33,0.62,14.8
2023-03-26,West Bengal,Howrah,1100,0.46,0.31,0.64,15.3
2023-03-26,West Bengal,Kolkata,4500,0.47,0.29,0.6,15.3
2023-03-27,Delhi,Central Delhi,1800,0.58,0.43,0.74,18.4
2023-03-27,Delhi,East Delhi,1700,0.6,0.44,0.76,18.6
2023-03-27,Delhi,North Delhi,3600,0.56,0.39,0.76,18.9
2023-03-27,Delhi,South Delhi,2700,0.56,0.37,0.72,19.4
2023-03-27,Gujarat,Ahmedabad,5600,0.36,0.25,0.5,13.0
2023-03-27,Gujarat,Rajkot,1300,0.39,0.28,0.54,12.5
2023-03-27,Gujarat,Surat,4500,0.4,0.27,0.56,12.3
2023-03-27,Gujarat,Vadodara,1700,0.41,0.3,0.56,12.3
2023-03-27,Karnataka,Bangalore,8400,0.47,0.33,0.57,13.9
2023-03-27,Karnataka,Hubli,950,0.46,0.29,0.59,14.2
2023-03-27,Karnataka,Mangalore,500,0.44,0.31,0.57,14.9
2023-03-27,Karnataka,Mysore,900,0.47,0.31,0.59,14.8
2023-03-27,Maharashtra,Mumbai,12500,0.49,0.35,0.65,17.6
2023-03-27,Maharashtra,Nagpur,2400,0.54,0.34,0.68,17.6
2023-03-27,Maharashtra,Pune,3100,0.54,0.33,0.67,16.4
2023-03-27,Maharashtra,Thane,1850,0.5,0.39,0.68,17.5
2023-03-27,Rajasthan,Jaipur,3100,0.43,0.34,0.57,13.5
2023-03-27,Rajasthan,Jodhpur,1000,0.45,0.36,0.57,14.0
2023-03-27,Rajasthan,Kota,1000,0.46,0.37,0.59,13.7
2023-03-27,Rajasthan,Udaipur,450,0.46,0.34,0.58,13.4
2023-03-27,Tamil Nadu,Chennai,7100,0.45,0.34,0.54,13.4
2023-03-27,Tamil Nadu,Coimbatore,1600,0.43,0.29,0.57,12.7
2023-03-27,Tamil Nadu,Madurai,1500,0.45,0.31,0.56,13.9
2023-03-27,Tamil Nadu,Salem,900,0.42,0.28,0.53,12.6
2023-03-27,Uttar Pradesh,Agra,1600,0.49,0.38,0.66,16.5
2023-03-27,Uttar Pradesh,Kanpur,2700,0.49,0.39,0.66,17.8
2023-03-27,Uttar Pradesh,Lucknow,2800,0.52,0.39,0.66,16.6
2023-03-27,Uttar Pradesh,Varanasi,1200,0.52,0.4,0.63,16.1
2023-03-27,West Bengal,Asansol,550,0.46,0.29,0.57,15.8
2023-03-27,West Bengal,Durgapur,600,0.49,0.32,0.64,15.7
2023-03-27,West Bengal,Howrah,1100,0.47,0.3,0.6,14.7
2023-03-27,West Bengal,Kolkata,4500,0.47,0.34,0.63,15.0
2023-03-28,Delhi,Central Delhi,1800,0.57,0.41,0.72,17.4
2023-03-28,Delhi,East Delhi,1700,0.62,0.39,0.74,18.2
2023-03-28,Delhi,North Delhi,3600,0.58,0.35,0.73,17.5
2023-03-28,Delhi,South Delhi,2700,0.57,0.42,0.69,18.3
2023-03-28,Gujarat,Ahmedabad,5600,0.42,0.27,0.52,12.2
2023-03-28,Gujarat,Rajkot,1300,0.43,0.28,0.54,12.8
2023-03-28,Gujarat,Surat,4500,0.45,0.24,0.52,12.4
2023-03-28,Gujarat,Vadodara,1700,0.43,0.27,0.5,12.0
2023-03-28,Karnataka,Bangalore,8400,0.42,0.3,0.59,14.7
2023-03-28,Karnataka,Hubli,950,0.48,0.3,0.58,14.9
2023-03-28,Karnataka,Mangalore,500,0.44,0.31,0.6,13.7
2023-03-28,Karnataka,Mysore,900,0.43,0.26,0.62,15.2
2023-03-28,Maharashtra,Mumbai,12500,0.53,0.34,0.63,17.2
2023-03-28,Maharashtra,Nagpur,2400,0.5,0.37,0.7,17.0
2023-03-28,Maharashtra,Pune,3100,0.53,0.35,0.7,17.9
2023-03-28,Maharashtra,Thane,1850,0.54,0.36,0.7,17.7
